source,target,tweet_text,tweet_date
@catialindemann,@p7e6fGpsbL,"E o BookTruck já está na estrada. O novo projeto da VR irá percorrer 22 cidades brasileiras, levando cultura para praças, povoados, vilarejos e comunidades em vulnerabilidade social. A Lei Rouanet é muito mais... https://facebook.com/catialindemann/videos/2476914079001186/…",2018-06-09T21:57:37.000Z
@SCezarp,@jbVqw3Ph9R,"Festival Lula Livre reunirá artistas e intelectuais dia 28 no Rio de Janeiro https://revistaforum.com.br/festival-lula-livre-reunira-artistas-e-intelectuais-dia-28-no-rio-de-janeiro/… - Da lei Rouanet, com contas a acertar? rs",2018-07-10T23:59:25.000Z
@Blogbone8,@IntervencaoMilitarJa,Chico Pinheiro da #GloboLixo junto a outros q fazem parte da escória são discípulos do Molusco Maldito  Pq foram bancados por ele pela Lei Rouanet e ñ querem que a fonte esgote por isso defendem #IntervencaoMilitarJa #LulaPreso https://x.com/rcp01/status/1016684489186177024…,2018-07-10T23:57:52.000Z
@Blogbone8,@GloboLixo,Chico Pinheiro da #GloboLixo junto a outros q fazem parte da escória são discípulos do Molusco Maldito  Pq foram bancados por ele pela Lei Rouanet e ñ querem que a fonte esgote por isso defendem #IntervencaoMilitarJa #LulaPreso https://x.com/rcp01/status/1016684489186177024…,2018-07-10T23:57:52.000Z
@Blogbone8,@LulaPreso,Chico Pinheiro da #GloboLixo junto a outros q fazem parte da escória são discípulos do Molusco Maldito  Pq foram bancados por ele pela Lei Rouanet e ñ querem que a fonte esgote por isso defendem #IntervencaoMilitarJa #LulaPreso https://x.com/rcp01/status/1016684489186177024…,2018-07-10T23:57:52.000Z
@miauresiste,@f7ppqWItpR,"O mesmo grupo que quer apoiar o Bozonaro 
Museu com exposição onde crianças tocam homem nu é financiado pelo Itaú via Lei Rouanet http://ilisp.org/noticias/museu-com-exposicao-onde-criancas-tocam-homem-nu-e-financiado-pelo-itau-via-lei-rouanet/…",2018-07-10T21:36:12.000Z
@Recreio_i,@DiarioPE,Mamador da Lei Rouanet safado,2018-08-10T21:24:18.000Z
@LEOGALVO8,@RevistaISTOE,"Porque?? 
Esperavam outra resposta desse ""artista"" mamador da lei rouanet",2018-08-10T20:46:22.000Z
@UNA2010,@scamarsn,"Mas é disso que a MIDIA QUE É  CONIVENTE COM A CORRUPCAO DO PT - que lhe garantiu milhares de boquinhas pelo Brasil  afora - TEME !!! Assim como os artistas que estão pendurados na lei Rouanet que lhes garante milhõe$ em detrimento da saúde pública , educação, segurança etc ...",2018-09-08T19:54:12.000Z
@CarlinhosUara,@julinho_36,Lei Rouanet pra picareta também!,2018-09-08T19:35:41.000Z
@CarlinhosUara,@CrazyCartoonSqd,Lei Rouanet pra picareta também!,2018-09-08T19:35:41.000Z
@CeaRouanet,@chepreum,"Sí, estamos a la espera del informe final con los videos de seguridad, que ya fueron proporcionados.",2018-09-08T19:12:38.000Z
@caiumi2,@TarcisoRenova,Outro carrapato da Rouanet.,2018-09-08T18:29:59.000Z
@VALTERLUISS,@jairbolsonaro,"@jairbolsonaro
 A FACÇÃO ARTÍSTICA ENGAJADA DE ESQUERDA DEU SEU RECADO: PENSOU EM MEXER NA LEI ROUANET, NÃO TERÁ SEQUER UMA PALAVRA DE COMPAIXÃO... E NEM LÁGRIMAS ARTIFICIAIS. SOMOS AUTÊNTICAS... RÊMORAS!",2018-09-08T18:12:08.000Z
@FranckRouanet,@L67E4zuGSV,"Toulouse: Adieu aluminium et film plastique, voici l'emballage écolo à base de cire d'abeille https://20minutes.fr/planete/2331415-20180906-toulouse-adieu-aluminium-film-plastique-voici-emballage-ecolo-base-cire-abeille?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook&xtref=facebook.com#Echobox=1536389800…",2018-09-08T17:57:17.000Z
@jotaefe61,@TarcisoRenova,"Vai acabar a grana fácil da Rouanet, essa é a bronca dele.",2018-09-08T17:13:21.000Z
@jeanfellipe,@foraPT,"Dos grandes intelectuais formadores de opiniao desse pais, e que defendem #MinC, quantos tiveram o privilegio da Lei Rouanet? #foraPT",2018-09-08T17:00:43.000Z
@jeanfellipe,@MinC,"Dos grandes intelectuais formadores de opiniao desse pais, e que defendem #MinC, quantos tiveram o privilegio da Lei Rouanet? #foraPT",2018-09-08T17:00:43.000Z
@Muriloxau,@NNMang,"Claro que não vão falar nada,estão perto de perder a lei rouanet deles.",2018-09-08T16:41:36.000Z
@Muriloxau,@NNMGAA,"Claro que não vão falar nada,estão perto de perder a lei rouanet deles.",2018-09-08T16:41:36.000Z
@helio_pedro,@r61M89L2be,"A FAMIGERADA LEI ROUANET.

O porquê da maioria dos artistas defenderem dos governos corruptos. https://facebook.com/vamopracima.mmn/videos/2153904738201145/…",2018-09-08T16:19:08.000Z
@zoelileal,@TarcisoRenova,Ridículo! Vai perder as mamatas da lei Rouanet!,2018-09-08T16:15:30.000Z
@Dirceleia1,@TarcisoRenova,"Quem vota no Bolsonaro tá doido pra acabar com a lei Rouanet pra tipos como esse , é  por isso q nós somos doidos!!!",2018-09-08T15:49:36.000Z
@hecatizz,@httploveuself,"É sério isso que vcs acreditam mesmo que todo mundo ""mama"" na lei Rouanet?",2018-10-11T23:57:28.000Z
@PauloVitorAlm11,@BolsoElla,"A Pat fala em ""erros"". Repete o discurso petista. Foi crime mesmo. Mas isso cheira à viuvez precoce da Lei Rouanet.",2018-10-11T23:57:25.000Z
@Gcah4,@iJs0xWvpcb,"Patricia Pillar tem a cara de pau de dizer que nunca foi petista... aham, achou o que do impeachment, essa hipócrita? 
Não quer perder a boquinha da Lei Rouanet, né? 
Deus tá vendo essas mentiradas aí!

http://pt.org.br/tag/patricia-pillar/…",2018-10-11T23:56:50.000Z
@sandrahostins,@luciano_hang,"Estou de ben com 
@luansantana
  pq ele rejeitou a verba da lei rouanet.",2018-11-11T23:50:08.000Z
@sandrahostins,@luansantana,"Estou de ben com 
@luansantana
  pq ele rejeitou a verba da lei rouanet.",2018-11-11T23:50:08.000Z
@MichelFaita,@Marcelodedois,"Pode chorar a vontade pq o combate ao crime,ao tráfico de drogas vai ser pesado, resultado não vai ter maconha p vc fumar,e acabar com a lei Rouanet, artistas como vc q recebem dinheiro dos nossos impostos vai acabar e vcs vão ter q trabalhar! vc não vai fumar nosso dinheiro",2018-11-11T23:48:02.000Z
